Date,Close,High,Low,Open,Volume,Return,Close_SMA_5,Close_STD_5,Volume_SMA_5,Momentum_5,Close_SMA_10,Close_STD_10,Volume_SMA_10,Momentum_10,Close_SMA_20,Close_STD_20,Volume_SMA_20,Momentum_20,Close_SMA_50,Close_STD_50,Volume_SMA_50,Momentum_50,Close_EMA_5,Close_EMA_10,Close_EMA_20,HL_PCT,OC_PCT,TrueRange,ATR_14,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Width,Volume_Change,Volume_MA_Ratio,DayOfWeek,Month,DayOfMonth,Quarter,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4
2012-03-30,14.129026412963867,14.155748588009835,14.015459717385369,14.108986055862829,35673900,0.005706218148597619,14.030157852172852,0.08415702240863669,37121280.0,0.03019973362174988,13.837094402313232,0.2248527339893667,37653610.0,0.05591593701063058,13.537479209899903,0.367542859048514,37757340.0,0.0703437631351449,13.426651954650879,0.27269175196430895,42935152.0,0.0687213417015955,14.008770032090764,13.860353090194566,13.676323022336748,0.9929125087893306,-0.1418382025434579,0.1402888706244667,0.22379401295806872,14.048860549926758,14.082267761230469,13.968700408935549,13.921934127807615,13.714841842651367,77.27239210314731,0.20911923971777213,0.144913085721806,0.06420615399596613,13.537479209899903,14.272564927996932,12.802393491802874,0.10860008819950225,-0.023114628402431725,0.944820265410646,4,3,30,1,0,0,0,0,1
2012-04-02,14.155752182006836,14.229235633673058,14.062225819784013,14.12234945471877,30716500,0.0018915506462955367,14.076921463012695,0.07324104443516243,37444820.0,0.016794940419391446,13.907238960266113,0.20023387952729896,37697610.0,0.052135394283315595,13.59058861732483,0.3766511657517021,37694600.0,0.0811229200682293,13.443620185852051,0.29090410411628737,42708548.0,0.0637551547045605,14.05776408206279,13.914062015978615,13.721982942305328,1.179801763563853,-0.2359657534166536,0.16700981388904523,0.2171132166487691,14.129026412963867,14.048860549926758,14.082267761230469,13.968700408935549,13.921934127807615,73.42958854757889,0.2209886267713319,0.16012819393171118,0.060860432839620726,13.59058861732483,14.343890948828234,12.837286285821426,0.11085646879828578,-0.13896434087666332,0.8148779931342951,0,4,2,2,1,0,0,0,0
2012-04-03,13.96128273010254,14.209394468941651,13.833873930211524,14.15574886041052,64106700,-0.013737839530101548,14.075437927246094,0.0760041412875924,41370880.0,-0.0005310213989744295,13.929210662841797,0.19191664938054606,37942320.0,0.01598922790052626,13.63798246383667,0.3594444909428772,39062820.0,0.07283849783940477,13.457901554107666,0.2984940454182497,42990420.0,0.05390328831979896,14.025603631409373,13.922647600364783,13.744773398286014,2.689728057153735,1.3928958682906887,0.37552053873012703,0.22866665827544505,14.155752182006836,14.129026412963867,14.048860549926758,14.082267761230469,13.968700408935549,64.92643933707298,0.21225638255288004,0.17055383165594495,0.04170255089693509,13.63798246383667,14.356871445722424,12.919093481950915,0.10542453530674435,1.0870444223788516,1.6411180759607218,1,4,3,2,0,1,0,0,0
2012-04-04,13.652825355529783,13.927759350849286,13.579062139561708,13.84058440852108,43848100,-0.022093770360203324,13.989549446105958,0.20296372899429638,42172640.0,-0.03049525921407148,13.925012969970703,0.19797680747172555,38413610.0,-0.0030651723069595738,13.6722918510437,0.3228801487622663,39517655.0,0.05291948188155682,13.466147346496582,0.2980612112612332,43250812.0,0.03113843938521299,13.901344206116176,13.873589010394783,13.736016441833039,2.5540296766950505,1.3752395427459907,0.38222059054083246,0.23688099827309195,13.96128273010254,14.155752182006836,14.129026412963867,14.048860549926758,14.082267761230469,60.4893440303959,0.1783897182271712,0.17212100897019023,0.0062687092569809755,13.6722918510437,14.318052148568233,13.026531553519169,0.09446262624583118,-0.3160137707915085,1.1095825397534342,2,4,4,2,0,0,1,0,0
2012-04-05,13.558944702148438,13.65953137196532,13.458359311344193,13.53212252813987,30611900,-0.0068762802523744115,13.891566276550293,0.27325639610560487,40991420.0,-0.03487228348785021,13.919443607330322,0.2081977498380984,38253630.0,-0.004090716555210205,13.692888545989991,0.29993184655137484,39215475.0,0.031332894229067376,13.472381954193116,0.2966451862095286,43118950.0,0.02353176882018504,13.78721103812693,13.816380954349993,13.719152466624982,1.4836852353948409,-0.19781903826421512,0.20117206062112736,0.24409288683673896,13.652825355529783,13.96128273010254,14.155752182006836,14.129026412963867,14.048860549926758,55.26232746952295,0.1423340206284358,0.16616361130183935,-0.02382959067340354,13.692888545989991,14.29275223909274,13.093024852887241,0.08761682257005175,-0.3018648470515256,0.7806076555237441,3,4,5,2,0,0,0,1,0
2012-04-09,13.38459587097168,13.518710575812174,13.324245660707334,13.391301734114965,26416300,-0.012858584130749695,13.742680168151855,0.3116378272238992,39139900.0,-0.05268802819344631,13.886419010162353,0.26318787251188197,38130590.0,-0.024079458988193747,13.700759553909302,0.28893087990561067,39222570.0,0.01190126764827415,13.475129585266114,0.29514950955199887,42910906.0,0.010370599460315821,13.653005982408516,13.737874575553937,13.68728993370562,1.4529009092205214,0.050101349401431,0.23469904144110387,0.24463329064644881,13.558944702148438,13.652825355529783,13.96128273010254,14.155752182006836,14.129026412963867,48.05632475546179,0.09855504571357798,0.15264189818418708,-0.0540868524706091,13.700759553909302,14.278621313720523,13.122897794098082,0.0843547042100066,-0.13705781085133562,0.6734974276290412,0,4,9,2,1,0,0,0,0
2012-04-10,13.109661102294922,13.478475879300651,13.08954479306668,13.371184633374906,44896400,-0.020541133354129326,13.533461952209473,0.31610752961806576,41975880.0,-0.07389865732755518,13.805191707611083,0.358937240443018,39710350.0,-0.05834484045505306,13.69388189315796,0.30165229787211756,40151580.0,-0.010383557760290207,13.47598596572876,0.2940005647461147,42938042.0,0.003276922065248433,13.471891022370652,13.623653944052297,13.632277664047457,2.9667516436857846,1.9948916225927666,0.38893108623397055,0.24235235951942016,13.38459587097168,13.558944702148438,13.652825355529783,13.96128273010254,14.155752182006836,32.259306501136834,0.041200026319307526,0.13035352381121118,-0.08915349749190365,13.69388189315796,14.297186488902195,13.090577297413724,0.08811301286973597,0.699571855256035,1.1181726846116642,1,4,10,2,0,1,0,0,0
2012-04-11,13.424824714660645,13.43823643461823,13.156596710568984,13.19683059142973,40610100,0.02404056137733046,13.426170349121094,0.20670623602336377,37276560.0,-0.03842469390618497,13.750804138183593,0.3723629292962382,39323720.0,-0.03893531097044611,13.68973536491394,0.3048979848800078,40515785.0,-0.006139477889859246,13.483145618438721,0.28813389722703453,43122548.0,0.027396262488617262,13.456202253133984,13.587503175071996,13.612520240296332,2.0979024310215357,-1.698302421646758,0.3285753323233074,0.2515069381802582,13.109661102294922,13.38459587097168,13.558944702148438,13.652825355529783,13.96128273010254,43.41308281089449,0.020935498420557863,0.10846991873308053,-0.08753442031252266,13.68973536491394,14.299531334673956,13.079939395153923,0.08908805809685567,-0.09547090635329336,1.002327858142203,2,4,11,2,0,0,1,0,0
2012-04-12,13.451648712158203,13.599175093809848,13.398003104015473,13.471766294841297,32041300,0.0019980892166335806,13.385935020446777,0.1674008055006483,34915200.0,-0.014735165662255967,13.687742233276367,0.3632790719479783,38543920.0,-0.04478107217989469,13.687598133087159,0.30648501622306273,40058330.0,-0.003167584894787523,13.489639186859131,0.2835654502290454,42950782.0,0.024733690548511822,13.454684406142059,13.562802363633125,13.597199142378415,1.4955192043674663,0.14955477290237695,0.2011719897943749,0.2515612767208322,13.424824714660645,13.109661102294922,13.38459587097168,13.558944702148438,13.652825355529783,45.91710802617339,0.006959956437915693,0.08816792627404756,-0.08120796983613186,13.687598133087159,14.300568165533283,13.074628100641034,0.08956575528972999,-0.21100169662226886,0.7998660952665775,3,4,12,2,0,0,0,1,0
2012-04-13,13.310836791992188,13.438245661041542,13.270602883507667,13.42483393187574,27901500,-0.0104680045680009,13.336313438415527,0.13737540324522488,34373120.0,-0.018298467587742007,13.61393985748291,0.3566711095299723,37682270.0,-0.0525326417264792,13.688107061386109,0.30581639439313785,38702395.0,0.0007652678390830392,13.491312408447266,0.28222881515820675,42367316.0,0.006324938991105755,13.406735201425436,13.51699044151659,13.569926537579725,1.2594458196251683,0.8564235416974979,0.18104582865053587,0.24826930921312687,13.451648712158203,13.424824714660645,13.109661102294922,13.38459587097168,13.558944702148438,40.08145926147225,-0.015301717737658649,0.0674739974717063,-0.08277571520936496,13.688107061386109,14.299739850172385,13.076474272599834,0.08936703753752484,-0.1292019986704659,0.7209243769022563,4,4,13,2,0,0,0,0,1
2012-04-16,13.23036003112793,13.38459099014377,13.123068817985416,13.357768826364218,35250100,-0.006045958050711953,13.305466270446777,0.14108968604313735,36139880.0,-0.011523384144773052,13.524073219299316,0.3242063335328172,37639890.0,-0.06360426794951568,13.680583810806274,0.31547189325504416,37646750.0,-0.011244823179157426,13.491376094818115,0.2821683477636877,42344214.0,0.00024074062458034895,13.347943477992935,13.464875821445924,13.537586870298602,1.9766822032284401,0.9630032360156894,0.2615221721583545,0.25120279492621567,13.310836791992188,13.451648712158203,13.424824714660645,13.109661102294922,13.38459587097168,31.895964609193285,-0.038988620391595674,0.046181473899045915,-0.0851700942906416,13.680583810806274,14.311527597316362,13.049640024296187,0.09223930721607157,0.26337652097557473,0.9363384621514473,0,4,16,2,1,0,0,0,0
2012-04-17,13.465062141418455,13.512001894619138,13.243773819892146,13.284007711348108,28770700,0.017739661637198534,13.376546478271484,0.10185086703756709,32914740.0,0.02710985710083058,13.455004215240479,0.236348716587667,37445310.0,-0.04879218226681781,13.681121587753296,0.31507478010704154,37571460.0,0.0007994123560739474,13.49225923538208,0.28201234288873733,41829808.0,0.003290167676898381,13.386983032468109,13.464909697804565,13.530679753262397,1.9920299803290422,-1.3446237987526588,0.2816418634912079,0.26129925896089656,13.23036003112793,13.310836791992188,13.451648712158203,13.424824714660645,13.109661102294922,37.996813411853914,-0.03837974477943362,0.029269230163350007,-0.06764897494278363,13.681121587753296,14.311271147967378,13.050972027539213,0.09211957604092388,-0.18381224450427092,0.7657594354864038,1,4,17,2,0,1,0,0,0
2012-04-18,13.451648712158203,13.512000181195296,13.330945774084014,13.377886800344566,27563400,-0.0009961654182785162,13.381911277770996,0.10566462099822539,30305400.0,0.0019980892166335806,13.404040813446045,0.15651307508714882,33790980.0,-0.03650338065609782,13.666625738143921,0.3187947648992171,35866650.0,-0.021097813628021655,13.491537952423096,0.2820703215313506,41638238.0,-0.002673851995758758,13.408538259031475,13.462498609505227,13.52315298744295,1.3459644314650894,-0.5483484842045265,0.18105440711128118,0.2560991711721525,13.465062141418455,13.23036003112793,13.310836791992188,13.451648712158203,13.424824714660645,34.2170185017753,-0.038535346622239786,0.015708314806232047,-0.05424366142847183,13.666625738143921,14.304215267942356,13.029036208345486,0.09330606427874952,-0.04196283024048775,0.7684966396359849,2,4,18,2,0,0,1,0,0
